StudyID;Position;Device;EpochDuration;DropTime;BoutDuration;StudyDetails;PhysicalActivityAssessment_StartYear
90;Wrist;Axivity AX3;10s;No;10s-1min;Stamatakis et al., 2022;2013
91;Wrist;Axivity AX3;10s;No;10s-2min;Stamatakis et al., 2022;2013
92;Wrist;Axivity AX3;10s;No;10s-1min;Stamatakis et al., 2023;2013
93;Wrist;Axivity AX3;10s;No;10s-2min;Stamatakis et al., 2023;2013
94;Wrist;Axivity AX3;10s;No;10s-1min;Stamatakis et al., 2024;2013
95;Wrist;Axivity AX3;10s;No;10s-2min;Stamatakis et al., 2024;2013
96;Hip;Actigraph;60s;No;1+min;Strath et al., 2008;2003
97;Hip;Actigraph;60s;No;10+min;Strath et al., 2008;2003
98;Hip;Hookie AM 20;6s;No;30s-5min;Vasankari et al. 2017;2011
99;Hip;Hookie AM 20;6s;No;5+min;Vasankari et al. 2017;2011
100;Hip;Hookie AM 20;6s;No;10+min;Vasankari et al. 2017;2011
101;Hip;Hookie AM 20;6s;No;15+min;Vasankari et al. 2017;2011
102;Hip;Hookie AM 20;6s;No;30+min;Vasankari et al. 2017;2011
103;Hip;Hookie AM 20;6s;No;10-min;Vasankari et al. 2017;2011
104;Hip;Hookie AM 20;6s;No;15-min;Vasankari et al. 2017;2011
105;Hip;Hookie AM 20;6s;No;30-min;Vasankari et al. 2017;2011
106;Thigh;ActivPAL;?;No;10+min;Verswijveren et al., 2022;2015
107;Chest;Actiheart;60s;No;1-5min;Wanigatunga et al., 2019;2007
108;Chest;Actiheart;60s;No;5-10min;Wanigatunga et al., 2019;2007
109;Chest;Actiheart;60s;No;10+min;Wanigatunga et al., 2019;2007
110;Waist;Actigraph;60s;No;1-10min;White et al., 2015;2005
111;Waist;Actigraph;60s;Yes;10+min;White et al., 2015;2005
112;Hip;Actigraph;60s;Yes;10+min;Wolff-Hugues et al., 2015;2003
113;Wrist;GENEActiv;60s;No;1+min;Yerramalla et al., 2024;2012
